"isbn","title","author","publisher","price","genre","num_pages","pub_cut","stock"
"9780349116754","The No.1 Ladies' Detective Agency:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander","Little, Brown Book Grp","8","hriller & Adventure","240","0.25","215"
"9780718147655","You are What You Eat:The Plan That Will Change Your Life","McKeith, Gillian","Penguin Grp","15"," Diet","224","0.4","488"
"9780006512134","Man and Boy","Parsons, Tony","HarperCollins Grp","8"," Literary Fiction","368","0.25","265"
"9780099387916","Birdsong","Faulks, Sebastian","Random House Grp","8"," Literary Fiction","528","0.3","394"
"9780752877327","Labyrinth","Mosse, Kate","Orion Grp","8"," Literary Fiction","752","0.35","79"
"9780755309511","The Island","Hislop, Victoria","Headline Grp","8"," Literary Fiction","496","0.2","460"
"9781841953922","Life of Pi","Martel, Yann","Canongate Grp","8"," Literary Fiction","348","0.2","472"
"9780091889487","Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Atkins, Robert C.","Random House Grp","9"," Diet","","0.25","519"
"9780747599876","The Tales of Beedle the Bard","Rowling, J. K.","Bloomsbury Grp","7","iction","128","0.4","569"
"9780749397548","Captain Corelli's Mandolin","De Bernieres, Louis","Random House Grp","8"," Literary Fiction","560","0.3","140"
"9780563384304","Delia's How to Cook:(Bk.1) ","Smith, Delia","Random House Grp","20"," Drink: General","240","0.35","395"
"9780330507417","The Gruffalo","Donaldson, Julia","Pan Macmillan Grp","6","ooks","","0.3","12"
"9781861976123","Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Truss, Lynne","Profile Books Group","10"," Writing Guides","224","0.25","112"
"9780590660549","Northern Lights:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp","7","dult Fiction","","0.2","268"
"9780755331420","The Interpretation of Murder","Rubenfeld, Jed","Headline Grp","8","hriller & Adventure","576","0.2","370"
"9781849162746","The Girl Who Kicked the Hornets' Nest:Millennium Trilogy","Larsson, Stieg","Quercus Grp","8","hriller & Adventure","","0.2","120"
"9780330367356","Bridget Jones: The Edge of Reason","Fielding, Helen","Pan Macmillan Grp","8"," Literary Fiction","432","0.4","235"
"9780141020525","Short History of Tractors in Ukrainian,A","Lewycka, Marina","Penguin Grp","8"," Literary Fiction","336","0.4","118"
"9780722532935","The Alchemist:A Fable About Following Your Dream","Coelho, Paulo","HarperCollins Grp","8"," Literary Fiction","","0.25","214"
"9780552996006","Notes from a Small Island","Bryson, Bill","Transworld Grp","9","riting","416","0.35","547"
"9780099487821","The Boy in the Striped Pyjamas","Boyne, John","Transworld Grp","7","dult Fiction","","0.2","67"
"9780141011905","Stupid White Men:...and Other Sorry Excuses for the State of the Natio","Moore, Michael","Penguin Grp","8","ffairs & Issues","320","0.4","290"
"9780718154776","Jamie's 30-minute Meals","Oliver, Jamie","Penguin Grp","26"," Drink: General","","0.3","234"
"9780099457169","The Broker","Grisham, John","Random House Grp","8","hriller & Adventure","480","0.35","193"
"9780330332774","Bridget Jones's Diary:A Novel","Fielding, Helen","Pan Macmillan Grp","8"," Literary Fiction","","0.4","416"
"9780241003008","The Very Hungry Caterpillar:The Very Hungry Caterpillar","Carle, Eric","Penguin Grp","6"," Early Learning","","0.2","549"
"9780747582977","Thousand Splendid Suns,A","Hosseini, Khaled","Bloomsbury Grp","12"," Literary Fiction","","0.25","450"
"9781846051616","The Sound of Laughter","Kay, Peter","Random House Grp","19","eneral","288","0.4","595"
"9780718147709","Jamie's Italy","Oliver, Jamie","Penguin Grp","25"," Regional Cuisine","336","0.2","321"
"9780755307500","Small Island","Levy, Andrea","Headline Grp","8"," Literary Fiction","560","0.3","426"
"9780141030142","The Memory Keeper's Daughter","Edwards, Kim","Penguin Grp","8"," Literary Fiction","432","0.3","384"
"9780007110926","Billy Connolly","Stephenson, Pamela","HarperCollins Grp","9","he Arts","432","0.4","251"
"9780330448444","The House at Riverton","Morton, Kate","Pan Macmillan Grp","8"," Literary Fiction","","0.25","200"
"9780747561071","Harry Potter and the Order of the Phoenix","Rowling, J. K.","Bloomsbury Grp","8","iction","","0.25","520"
"9780701181840","Nigella Express","Lawson, Nigella","Random House Grp","25"," Drink: General","400","0.4","120"
"9780099771517","Memoirs of a Geisha","Golden, Arthur","Random House Grp","8"," Literary Fiction","512","0.35","443"
"9780563384311","Delia's How to Cook:(Bk.2) ","Smith, Delia","Random House Grp","20"," Drink: General","256","0.3","292"
"9780590112895","The Subtle Knife:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp","7","dult Fiction","341","0.25","456"
"9780718148621","Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours","Oliver, Jamie","Penguin Grp","25"," Drink: General","360","0.2","166"
"9781904994367","Guinness World Records 2009:2009","","Guinness Publisher Group","20"," General Reference","","0.35","210"
"9781861978769","Why Don't Penguins' Feet Freeze?:And 114 Other Questions","","Profile Books Group","8","cience","240","0.4","429"
"9780718152437","Jamie at Home:Cook Your Way to the Good Life","Oliver, Jamie","Penguin Grp","30"," Drink: General","408","0.2","117"
"9780140276336","White Teeth","Smith, Zadie","Penguin Grp","9"," Literary Fiction","480","0.3","510"
"9780007156108","The Devil Wears Prada","Weisberger, Lauren","HarperCollins Grp","8"," Literary Fiction","416","0.25","227"
"9780593059258","At My Mother's Knee ...:and Other Low Joints","O'Grady, Paul","Transworld Grp","19","The Arts","352","0.35","426"
"9780752893686","No Time for Goodbye","Barclay, Linwood","Orion Grp","8","hriller & Adventure","448","0.25","480"
"9780007207329","New York Post Sudoku 3: The Official Utterly Addictive Number-Placing Puzzle","","HarperCollins Grp","6","","","0.25","287"
"9780552998482","Chocolat","Harris, Joanne","Transworld Grp","8"," Literary Fiction","","0.35","440"
"9780718144395","The Return of the Naked Chef","Oliver, Jamie","Penguin Grp","20"," Drink: General","288","0.4","153"
"9780006498407","Angela's Ashes:A Memoir of a Childhood","McCourt, Frank","HarperCollins Grp","8","eneral","432","0.3","106"
"9780747563204","Schott's Original Miscellany","Schott, Ben","Bloomsbury Grp","13"," Quiz Books","160","0.35","555"
"9781847670946","Dreams from My Father:A Story of Race and Inheritance","Obama, Barack","Canongate Grp","9","istorical, Political & Military","464","0.3","171"
"9780007232741","The Dangerous Book for Boys","Iggulden, Conn & Iggulden, Hal","HarperCollins Grp","20","astimes & Indoor Games","304","0.35","557"
"9780099419785","To Kill a Mockingbird","Lee, Harper","Random House Grp","7"," Literary Fiction","320","0.3","527"
"9780747581109","Harry Potter and the Half-blood Prince","Rowling, J. K.","Bloomsbury Grp","17","iction & Fantasy","608","0.35","227"
"9780099406136","The Summons","Grisham, John","Random House Grp","8","hriller & Adventure","400","0.4","339"
"9780552149525","The Lost Symbol","Brown, Dan","Transworld Grp","8","hriller & Adventure","672","0.3","485"
"9780140237504","The Catcher in the Rye","Salinger, J.D.","Penguin Grp","9"," Literary Fiction","208","0.35","431"
"9780593050545","I Can Make You Thin","McKenna, Paul","Transworld Grp","11"," Diet","144","0.2","233"
"9780718144845","Happy Days with the Naked Chef","Oliver, Jamie","Penguin Grp","20"," Drink: General","320","0.35","132"
"9780552771153","Brick Lane","Ali, Monica","Transworld Grp","8"," Literary Fiction","496","0.2","532"
"9780141019376","Anybody Out There?","Keyes, Marian","Penguin Grp","8"," Literary Fiction","608","0.2","384"
"9780552772747","The Undomestic Goddess","Kinsella, Sophie","Transworld Grp","8"," Literary Fiction","","0.3","526"
"9780552773898","The Book Thief","Zusak, Markus","Transworld Grp","8"," Literary Fiction","560","0.25","459"
"9780141022925","I Know You Got Soul","Clarkson, Jeremy","Penguin Grp","8","eneral","288","0.2","226"
"9780316731317","Sharon Osbourne Extreme:My Autobiography","Osbourne, Sharon","Little, Brown Book Grp","19","The Arts","","0.4","43"
"9781904994497","Guinness World Records 2010","","Guinness Publisher Group","20"," General Reference","","0.3","221"
"9780439993586","The Amber Spyglass:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp","7","dult Fiction","","0.25","298"
"9780552771108","Can You Keep a Secret?","Kinsella, Sophie","Transworld Grp","8"," Literary Fiction","384","0.35","328"
"9780552997034","Down Under","Bryson, Bill","Transworld Grp","9","riting","432","0.4","188"
"9780099506928","Spot of Bother,A","Haddon, Mark","Random House Grp","8"," Literary Fiction","","0.2","518"
"9781846053443","Dear Fatty","French, Dawn","Random House Grp","19","The Arts","384","0.35","494"
